#cpu 34:58.31 total
run, score, built
506, 0.8, -
507, 0.8, -
508, 0.8, -
509, 0.8, -
510, 0.8, -
511, 0.8, -
512, 0.8, -
513, 0.8, -
514, 0.8, -
515, 0.727273, Rebuilt
516, 0.9, -
517, 0.9, -
518, 0.9, -
519, 0.9, -
520, 0.9, -
521, 0.9, -
522, 0.9, -
523, 0.9, -
524, 0.9, -
525, 0.9, -
526, 0.9, -
527, 0.9, -
528, 0.9, -
529, 0.9, -
530, 0.9, -
531, 0.9, -
532, 0.9, -
533, 0.9, -
534, 0.818182, -
535, 0.818182, -
536, 0.818182, -
537, 0.818182, -
538, 0.818182, -
539, 0.818182, -
540, 0.818182, -
541, 0.818182, -
542, 0.818182, -
543, 0.818182, -
544, 0.818182, -
545, 0.818182, -
546, 0.818182, -
547, 0.818182, -
548, 0.818182, -
549, 0.818182, -
550, 0.818182, -
551, 0.818182, -
552, 0.818182, -
553, 0.818182, -
554, 0.818182, -
555, 0.818182, -
556, 0.818182, -
557, 0.818182, -
558, 0.818182, -
559, 0.818182, -
560, 0.818182, -
561, 0.818182, -
562, 0.818182, -
562, 0.818182, -
564, 0.818182, -
565, 0.818182, -
566, 0.818182, -
567, 0.818182, -
568, 0.818182, -
569, 0.818182, -
570, 0.75, Rebuilt
571, 0.9, -
572, 0.9, -
573, 0.9, -
574, 0.9, -
575, 0.818182, -
576, 0.818182, -
577, 0.818182, -
578, 0.818182, -
579, 0.818182, -
580, 0.818182, -
581, 0.818182, -
582, 0.818182, -
583, 0.818182, -
584, 0.818182, -
585, 0.818182, -
586, 0.818182, -
587, 0.818182, -
588, 0.818182, -
589, 0.818182, -
590, 0.818182, -
591, 0.818182, -
592, 0.818182, -
593, 0.818182, -
594, 0.818182, -
595, 0.818182, -
596, 0.818182, -
597, 0.818182, -
598, 0.818182, -
599, 0.818182, -
600, 0.818182, -
601, 0.818182, -
602, 0.818182, -
603, 0.818182, -
604, 0.818182, -
605, 0.818182, -
606, 0.75, Rebuilt
607, 0.9, -
608, 0.9, -
609, 0.818182, -
610, 0.818182, -
611, 0.818182, -
612, 0.818182, -
613, 0.818182, -
614, 0.818182, -
615, 0.818182, -
616, 0.818182, -
617, 0.818182, -
618, 0.818182, -
619, 0.818182, -
620, 0.818182, -
621, 0.818182, -
622, 0.818182, -
623, 0.818182, -
624, 0.818182, -
625, 0.818182, -
626, 0.818182, -
627, 0.818182, -
628, 0.818182, -
629, 0.75, Rebuilt
630, 0.9, -
631, 0.818182, -
632, 0.818182, -
633, 0.818182, -
634, 0.818182, -
635, 0.818182, -
636, 0.818182, -
637, 0.818182, -
638, 0.818182, -
639, 0.818182, -
640, 0.818182, -
641, 0.818182, -
642, 0.818182, -
643, 0.818182, -
644, 0.818182, -
645, 0.818182, -
646, 0.818182, -
647, 0.818182, -
648, 0.818182, -
649, 0.818182, -
650, 0.75, Rebuilt
651, 0.9, -
652, 0.818182, -
653, 0.818182, -
654, 0.818182, -
655, 0.818182, -
656, 0.818182, -
657, 0.818182, -
658, 0.818182, -
659, 0.818182, -
660, 0.818182, -
661, 0.818182, -
662, 0.818182, -
663, 0.818182, -
664, 0.818182, -
665, 0.818182, -
666, 0.818182, -
667, 0.818182, -
668, 0.818182, -
669, 0.818182, -
670, 0.818182, -
671, 0.818182, -
672, 0.818182, -
673, 0.818182, -
674, 0.818182, -
675, 0.818182, -
676, 0.818182, -
677, 0.818182, -
678, 0.818182, -
679, 0.818182, -
680, 0.818182, -
681, 0.818182, -
682, 0.818182, -
683, 0.818182, -
684, 0.818182, -
685, 0.818182, -
686, 0.818182, -
687, 0.818182, -
688, 0.818182, -
689, 0.818182, -
690, 0.818182, -
691, 0.818182, -
692, 0.818182, -
693, 0.818182, -
694, 0.818182, -
695, 0.818182, -
696, 0.818182, -
697, 0.818182, -
698, 0.818182, -
699, 0.818182, -
700, 0.818182, -
701, 0.818182, -
702, 0.818182, -
703, 0.818182, -
704, 0.75, Rebuilt
705, 0.818182, -
706, 0.818182, -
707, 0.818182, -
708, 0.818182, -
709, 0.818182, -
710, 0.818182, -
711, 0.818182, -
712, 0.818182, -
713, 0.75, Rebuilt
714, 0.818182, -
715, 0.818182, -
716, 0.818182, -
717, 0.818182, -
718, 0.818182, -
719, 0.818182, -
720, 0.818182, -
721, 0.818182, -
722, 0.818182, -
723, 0.818182, -
724, 0.818182, -
725, 0.818182, -
726, 0.818182, -
727, 0.818182, -
728, 0.818182, -
729, 0.818182, -
730, 0.818182, -
731, 0.818182, -
732, 0.818182, -
733, 0.818182, -
734, 0.818182, -
735, 0.818182, -
736, 0.818182, -
737, 0.818182, -
738, 0.818182, -
739, 0.818182, -
740, 0.818182, -
741, 0.818182, -
742, 0.818182, -
743, 0.818182, -
744, 0.818182, -
745, 0.818182, -
746, 0.818182, -
747, 0.818182, -
747, 0.818182, -
749, 0.818182, -
750, 0.75, Rebuilt
751, 0.9, -
752, 0.9, -
753, 0.818182, -
754, 0.818182, -
755, 0.818182, -
756, 0.818182, -
757, 0.818182, -
758, 0.818182, -
759, 0.818182, -
760, 0.818182, -
761, 0.818182, -
762, 0.818182, -
763, 0.818182, -
764, 0.818182, -
765, 0.818182, -
766, 0.818182, -
767, 0.818182, -
768, 0.818182, -
769, 0.818182, -
770, 0.818182, -
771, 0.818182, -
772, 0.818182, -
773, 0.818182, -
774, 0.818182, -
775, 0.818182, -
776, 0.818182, -
777, 0.818182, -
778, 0.818182, -
779, 0.818182, -
780, 0.818182, -
781, 0.818182, -
782, 0.818182, -
783, 0.818182, -
784, 0.818182, -
785, 0.818182, -
786, 0.818182, -
787, 0.818182, -
788, 0.818182, -
789, 0.75, Rebuilt
790, 0.818182, -
791, 0.818182, -
792, 0.818182, -
793, 0.818182, -
794, 0.818182, -
795, 0.818182, -
796, 0.818182, -
797, 0.818182, -
798, 0.818182, -
799, 0.818182, -
800, 0.818182, -
801, 0.818182, -
802, 0.818182, -
803, 0.818182, -
804, 0.818182, -
805, 0.818182, -
806, 0.818182, -
807, 0.75, Rebuilt
808, 0.818182, -
809, 0.818182, -
810, 0.818182, -
811, 0.818182, -
812, 0.818182, -
813, 0.818182, -
814, 0.818182, -
815, 0.818182, -
816, 0.818182, -
817, 0.818182, -
818, 0.818182, -
819, 0.818182, -
820, 0.818182, -
821, 0.818182, -
822, 0.818182, -
823, 0.818182, -
824, 0.818182, -
825, 0.818182, -
826, 0.818182, -
827, 0.818182, -
828, 0.818182, -
829, 0.75, Rebuilt
830, 0.818182, -
831, 0.818182, -
832, 0.818182, -
833, 0.818182, -
834, 0.818182, -
835, 0.818182, -
836, 0.818182, -
837, 0.818182, -
838, 0.818182, -
839, 0.818182, -
840, 0.818182, -
841, 0.818182, -
841, 0.818182, -
843, 0.818182, -
844, 0.818182, -
844, 0.818182, -
846, 0.818182, -
847, 0.75, Rebuilt
848, 0.818182, -
849, 0.818182, -
850, 0.818182, -
851, 0.818182, -
852, 0.818182, -
853, 0.818182, -
854, 0.818182, -
855, 0.818182, -
856, 0.818182, -
857, 0.818182, -
858, 0.818182, -
859, 0.818182, -
860, 0.818182, -
861, 0.818182, -
862, 0.818182, -
863, 0.818182, -
864, 0.818182, -
865, 0.818182, -
866, 0.818182, -
867, 0.818182, -
868, 0.818182, -
869, 0.818182, -
870, 0.818182, -
871, 0.818182, -
872, 0.818182, -
873, 0.818182, -
874, 0.818182, -
875, 0.818182, -
876, 0.818182, -
877, 0.818182, -
878, 0.818182, -
879, 0.818182, -
880, 0.818182, -
881, 0.818182, -
882, 0.818182, -
883, 0.818182, -
884, 0.818182, -
885, 0.818182, -
886, 0.818182, -
887, 0.818182, -
888, 0.818182, -
889, 0.818182, -
890, 0.818182, -
891, 0.818182, -
892, 0.75, Rebuilt
893, 0.9, -
894, 0.818182, -
895, 0.818182, -
896, 0.818182, -
897, 0.818182, -
898, 0.818182, -
899, 0.818182, -
900, 0.818182, -
901, 0.818182, -
902, 0.818182, -
903, 0.818182, -
904, 0.818182, -
905, 0.818182, -
906, 0.818182, -
907, 0.818182, -
908, 0.818182, -
909, 0.818182, -
910, 0.818182, -
911, 0.818182, -
912, 0.818182, -
913, 0.818182, -
914, 0.818182, -
915, 0.818182, -
916, 0.818182, -
917, 0.818182, -
918, 0.75, Rebuilt
919, 0.818182, -
920, 0.818182, -
921, 0.818182, -
922, 0.818182, -
923, 0.818182, -
924, 0.818182, -
925, 0.818182, -
926, 0.818182, -
927, 0.818182, -
928, 0.818182, -
929, 0.818182, -
930, 0.818182, -
931, 0.818182, -
932, 0.818182, -
933, 0.818182, -
934, 0.818182, -
935, 0.818182, -
936, 0.818182, -
937, 0.818182, -
938, 0.818182, -
939, 0.818182, -
940, 0.818182, -
941, 0.818182, -
942, 0.75, Rebuilt
943, 0.818182, -
944, 0.818182, -
945, 0.818182, -
946, 0.818182, -
946, 0.818182, -
948, 0.818182, -
949, 0.818182, -
950, 0.818182, -
951, 0.818182, -
952, 0.818182, -
953, 0.818182, -
954, 0.818182, -
955, 0.818182, -
956, 0.818182, -
957, 0.818182, -
958, 0.818182, -
959, 0.818182, -
960, 0.818182, -
961, 0.818182, -
962, 0.818182, -
963, 0.818182, -
964, 0.818182, -
965, 0.818182, -
966, 0.818182, -
967, 0.818182, -
968, 0.75, Rebuilt
969, 0.818182, -
970, 0.818182, -
971, 0.818182, -
972, 0.818182, -
973, 0.818182, -
974, 0.818182, -
975, 0.818182, -
976, 0.818182, -
977, 0.818182, -
978, 0.818182, -
979, 0.818182, -
980, 0.818182, -
981, 0.818182, -
982, 0.818182, -
983, 0.818182, -
984, 0.818182, -
985, 0.818182, -
986, 0.75, Rebuilt
987, 0.818182, -
988, 0.818182, -
989, 0.818182, -
990, 0.818182, -
991, 0.818182, -
992, 0.818182, -
993, 0.818182, -
994, 0.818182, -
995, 0.818182, -
996, 0.818182, -
997, 0.818182, -
998, 0.818182, -
999, 0.818182, -
1000, 0.818182, -
1001, 0.818182, -
1002, 0.818182, -
1003, 0.818182, -
1004, 0.818182, -
1005, 0.818182, -
1006, 0.818182, -
1007, 0.818182, -
1008, 0.818182, -
1009, 0.818182, -
1010, 0.818182, -
1011, 0.818182, -
1012, 0.75, Rebuilt
1013, 0.818182, -
1014, 0.818182, -
1015, 0.818182, -
1016, 0.818182, -
1017, 0.818182, -
1018, 0.818182, -
1019, 0.818182, -
1020, 0.818182, -
1021, 0.818182, -
1022, 0.818182, -
1023, 0.818182, -
1024, 0.818182, -
1025, 0.818182, -
1026, 0.818182, -
1027, 0.818182, -
1028, 0.818182, -
1029, 0.818182, -
1030, 0.818182, -
1031, 0.75, Rebuilt
1032, 0.909091, -
1033, 0.909091, -
1034, 0.909091, -
1035, 0.909091, -
1036, 0.909091, -
1037, 0.909091, -
1038, 0.833333, -
1039, 0.833333, -
1040, 0.833333, -
1041, 0.833333, -
1042, 0.833333, -
1043, 0.833333, -
1044, 0.833333, -
1045, 0.833333, -
1046, 0.833333, -
1047, 0.833333, -
1048, 0.833333, -
1049, 0.833333, -
1050, 0.833333, -
1051, 0.833333, -
1052, 0.833333, -
1053, 0.833333, -
1054, 0.833333, -
1055, 0.833333, -
1056, 0.833333, -
1057, 0.833333, -
1058, 0.833333, -
1059, 0.833333, -
1060, 0.833333, -
1061, 0.833333, -
1062, 0.833333, -
1063, 0.833333, -
1064, 0.833333, -
1065, 0.833333, -
1066, 0.833333, -
1067, 0.833333, -
1068, 0.833333, -
1069, 0.833333, -
1070, 0.833333, -
1071, 0.833333, -
1072, 0.833333, -
1073, 0.833333, -
1074, 0.833333, -
1075, 0.833333, -
1076, 0.833333, -
1077, 0.833333, -
1078, 0.833333, -
1079, 0.833333, -
1080, 0.833333, -
1081, 0.833333, -
1082, 0.833333, -
1083, 0.833333, -
1084, 0.833333, -
1085, 0.833333, -
1086, 0.833333, -
1087, 0.833333, -
1088, 0.833333, -
1089, 0.833333, -
1090, 0.833333, -
1091, 0.833333, -
1092, 0.833333, -
1093, 0.833333, -
1094, 0.833333, -
1095, 0.833333, -
1096, 0.833333, -
1097, 0.833333, -
1098, 0.833333, -
1099, 0.833333, -
1100, 0.833333, -
1101, 0.833333, -
1102, 0.833333, -
1103, 0.833333, -
1104, 0.833333, -
1105, 0.833333, -
1106, 0.833333, -
1107, 0.833333, -
1108, 0.833333, -
1109, 0.833333, -
1110, 0.833333, -
1111, 0.833333, -
1112, 0.833333, -
1113, 0.833333, -
1114, 0.833333, -
1115, 0.833333, -
1116, 0.833333, -
1117, 0.833333, -
1118, 0.833333, -
1119, 0.833333, -
1120, 0.833333, -
1121, 0.833333, -
1122, 0.833333, -
1123, 0.833333, -
1124, 0.833333, -
1125, 0.833333, -
1126, 0.833333, -
1127, 0.833333, -
1128, 0.833333, -
1129, 0.833333, -
1130, 0.833333, -
1131, 0.833333, -
1132, 0.833333, -
1133, 0.833333, -
1134, 0.833333, -
1135, 0.833333, -
1136, 0.769231, Rebuilt
1136, 0.909091, -
1138, 0.909091, -
1138, 0.909091, -
1140, 0.909091, -
1141, 0.909091, -
1142, 0.833333, -
1143, 0.833333, -
1144, 0.833333, -
1145, 0.833333, -
1146, 0.833333, -
1147, 0.833333, -
1148, 0.833333, -
1149, 0.833333, -
1150, 0.833333, -
1151, 0.833333, -
1152, 0.833333, -
1153, 0.833333, -
1154, 0.833333, -
1155, 0.833333, -
1156, 0.833333, -
1157, 0.833333, -
1158, 0.833333, -
1159, 0.833333, -
1160, 0.833333, -
1161, 0.833333, -
1162, 0.833333, -
1162, 0.833333, -
1164, 0.833333, -
1165, 0.833333, -
1166, 0.833333, -
1167, 0.833333, -
1168, 0.833333, -
1169, 0.833333, -
1170, 0.833333, -
1171, 0.833333, -
1172, 0.833333, -
1173, 0.833333, -
1174, 0.833333, -
1175, 0.833333, -
