initial_ang_1,initial_ang_2,initial_ang_3,initial_ang_4,initial_ang_5,target_pos_x,target_pos_y,target_pos_z,final_ang_1,final_ang_2,final_ang_3,final_ang_4,final_ang_5,algorithm
0,0,0,0,0,148.033,-72.7395,311.159,5.82627,4.93722,3.07797,0.829755,0.955645,TLBO_Adam
0,0,0,0,0,-11.725,-386.605,118.302,1.54027,2.34345,0.899413,2.08737,1.72265,NN_Adam
0,0,0,0,0,-229.421,364.064,117.541,2.13304,0.181227,0.631761,6.24432,6.07848,NN_Adam
0,0,0,0,0,321.398,-57.274,261.582,2.96526,2.24227,1.8951,0.0628649,2.71482,NN_Adam
0,0,0,0,0,118.042,-142.153,409.517,2.26374,3.67912,4.36673,1.65265,1.61524,NN_Adam
0,0,0,0,0,253.522,-318.378,426.26,5.38473,1.17667,5.21332,2.05705,0.586595,SGO_Adam
0,0,0,0,0,-287.922,42.6147,83.3168,6.13601,2.75669,6.00711,3.45614,3.84344,NN_Adam
0,0,0,0,0,-59.7395,-333.345,203.457,1.39322,1.78026,1.62839,1.58063,6.03257,NN_Adam
0,0,0,0,0,91.6456,241.265,154.564,1.20769,0.27439,2.2588,4.78163,4.84654,NN_Adam
0,0,0,0,0,-167.993,188.809,90.8669,2.29778,4.17701,1.70503,2.61126,0.164514,NN_Adam
0,0,0,0,0,68.4709,410.487,183.858,1.4054,0.139551,1.10274,6.0677,1.38371,NN_Adam
0,0,0,0,0,-269.928,179.142,502.474,2.55562,0.72645,0.901703,0.514347,2.39757,SGO_Adam
0,0,0,0,0,-158.442,87.2041,590.579,2.63834,0.638747,0.792834,1.6879,3.33779,NN_Adam
0,0,0,0,0,84.5732,480.859,51.3612,1.39652,6.20572,0.43117,0.574043,5.82413,SGO_Adam
0,0,0,0,0,138.6,-463.193,354.118,5.0028,0.139006,0.274465,1.80528,2.3339,SGO_Adam
0,0,0,0,0,-476.052,-117.361,166.718,3.38299,5.99233,1.09289,0.61609,0.721104,NN_Adam
0,0,0,0,0,-265.731,16.0744,100.526,6.22261,2.63776,6.08136,3.56429,3.84344,NN_Adam
0,0,0,0,0,34.0692,-336.213,436.537,1.67173,3.00633,5.27483,1.97965,1.34452,NN_Adam
0,0,0,0,0,204.678,-471.55,206.75,5.12168,6.21459,0.697951,0.899096,1.80074,NN_Adam
0,0,0,0,0,-465.049,146.785,129.88,2.83561,0.407851,6.1668,0.708886,4.41349,DE_Adam
0,0,0,0,0,-291.219,-251.831,410.361,0.712944,2.27766,0.255924,1.85902,1.46502,NN_Adam
0,0,0,0,0,-175.891,110.615,81.1635,2.58015,3.94201,1.68282,2.85742,0.164514,NN_Adam
0,0,0,0,0,57.9371,-253.071,137.592,1.79578,1.50287,2.40354,1.13558,5.01784,NN_Adam
0,0,0,0,0,-63.9514,288.024,223.808,1.78914,0.13849,2.35158,5.24172,4.84654,NN_Adam
0,0,0,0,0,-2.54252,367.276,226.2,1.57753,0.0107004,1.79435,5.79776,4.84654,NN_Adam
0,0,0,0,0,92.5264,-106.825,256.011,2.28457,2.18406,4.71338,4.55245,2.27078,NN_Adam
0,0,0,0,0,-306.966,153.097,73.5323,2.67884,0.211694,0.627428,5.76336,1.75357,NN_Adam
0,0,0,0,0,-132.218,33.7482,495.962,2.89173,2.49697,4.93796,1.0736,5.93834,NN_Adam
0,0,0,0,0,272.176,-152.043,127.797,2.63215,1.99768,2.19144,0.723394,0.246225,SGO_Adam
0,0,0,0,0,429.651,-29.2777,304.381,3.07325,3.13696,5.57572,1.96184,5.89801,SGO_Adam
0,0,0,0,0,-296.927,-417.118,79.4857,4.09356,6.06409,0.581856,0.821607,0.291986,GA_Adam
0,0,0,0,0,159.645,431.249,182.775,1.21586,0.0373054,0.974939,0.159547,1.38371,NN_Adam
0,0,0,0,0,447.464,-70.126,250.247,2.98578,3.14645,5.74589,1.93779,5.89801,NN_Adam
0,0,0,0,0,-443.567,-272.837,104.098,3.69292,5.94235,0.681638,1.06196,0.98026,GA_Adam
0,0,0,0,0,-46.7581,-172.614,485.54,1.30609,1.05933,1.50767,1.50463,6.01895,NN_Adam
0,0,0,0,0,-102.736,244.89,157.913,1.96793,4.33621,1.96206,2.33652,0.486989,NN_Adam
0,0,0,0,0,79.3334,457.99,78.3901,1.39916,0.0449931,0.50007,0.291785,5.82413,NN_Adam
